Method,SNR_dB,Delta_rad,Delta_norm,FailureRate_pct,MSE,ThresholdRMS,M,N,NRF_coarse,NRF_fine,W,K,TotalIter,d,BoundaryIndex,SectorWidth_beams
Prop CovGuided,6,-0.0736310778185108,-0.125,11.06,2.52140078949207e-06,0.00347197257747643,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,6,-0.0368155389092554,-0.0625,7.4,1.98097435347933e-06,0.00347379130381507,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,6,0,0,5.93,1.78192138236104e-06,0.00347110724684067,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,6,0.0368155389092554,0.0625,5.3,1.7470835901326e-06,0.00346725703130616,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,6,0.0736310778185108,0.125,5.21,1.78024474323191e-06,0.00346681983383112,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,6,0.110446616727766,0.1875,5.51,1.83971884080407e-06,0.00347007899068083,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,6,0.147262155637022,0.25,5.9,1.91788450828938e-06,0.00347287082029367,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,6,0.184077694546277,0.3125,6.12,1.96591347920465e-06,0.00347176031250007,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,6,0.220893233455532,0.375,5.87,1.94235600228479e-06,0.00346816320712498,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,6,0.257708772364788,0.4375,5.67,1.88991136728328e-06,0.00346644454588112,32,100,12,6,6,17,10000,2,15,6
Prop CovGuided,6,0.294524311274043,0.5,5.35,1.83446583800174e-06,0.00346854455022864,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,-0.294524311274043,-0.5,100,1.26537976847446,0.00346964124845824,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,-0.257708772364788,-0.4375,100,1.26619699263739,0.00347416169368811,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,-0.220893233455532,-0.375,100,1.14782776955086,0.00347438076287579,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,-0.184077694546277,-0.3125,99.99,1.56875059233125,0.00347013441441943,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,-0.147262155637022,-0.25,100,1.8565575853528,0.00346660975149056,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,-0.110446616727766,-0.1875,100,2.03727285183673,0.00346783763135236,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,-0.0736310778185108,-0.125,100,2.09942083614841,0.00347197257747643,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,-0.0368155389092554,-0.0625,100,2.0236457647717,0.00347379130381507,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,0,0,99.99,2.24992423897563,0.00347110724684067,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,0.0368155389092554,0.0625,100,2.74297941191107,0.00346725703130616,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,0.0736310778185108,0.125,100,3.00767060716289,0.00346681983383112,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,0.110446616727766,0.1875,100,3.1187527939028,0.00347007899068083,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,0.147262155637022,0.25,100,3.09116070357468,0.00347287082029367,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,0.184077694546277,0.3125,100,3.0181009134138,0.00347176031250007,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,0.220893233455532,0.375,100,3.52992567146816,0.00346816320712498,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,0.257708772364788,0.4375,100,3.74305744101614,0.00346644454588112,32,100,12,6,6,17,10000,2,15,6
[11] Sector,6,0.294524311274043,0.5,100,3.888938024168,0.00346854455022864,32,100,12,6,6,17,10000,2,15,6
